UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475154319,9/29/2016 12:00:00 AM,03:05:19,1.24,47,30.39,58,165.64,5.62,06:13:00,18:13:00
1475153425,9/29/2016 12:00:00 AM,02:50:25,1.24,47,30.39,58,156.31,7.87,06:13:00,18:13:00
1475152522,9/29/2016 12:00:00 AM,02:35:22,1.24,47,30.39,60,158.68,5.62,06:13:00,18:13:00
1475151621,9/29/2016 12:00:00 AM,02:20:21,1.23,47,30.39,62,163.06,5.62,06:13:00,18:13:00
1475150724,9/29/2016 12:00:00 AM,02:05:24,1.24,47,30.39,66,168.77,4.5,06:13:00,18:13:00
1475149823,9/29/2016 12:00:00 AM,01:50:23,1.21,48,30.4,70,186.06,5.62,06:13:00,18:13:00
1475148921,9/29/2016 12:00:00 AM,01:35:21,1.18,48,30.4,73,164.9,6.75,06:13:00,18:13:00
1475148023,9/29/2016 12:00:00 AM,01:20:23,1.25,48,30.4,77,169.53,5.62,06:13:00,18:13:00
1475147119,9/29/2016 12:00:00 AM,01:05:19,1.22,48,30.41,78,159.54,5.62,06:13:00,18:13:00
1475146229,9/29/2016 12:00:00 AM,00:50:29,1.19,48,30.41,78,177.17,5.62,06:13:00,18:13:00
1475145321,9/29/2016 12:00:00 AM,00:35:21,1.22,49,30.41,78,181.25,4.5,06:13:00,18:13:00
1475144425,9/29/2016 12:00:00 AM,00:20:25,1.23,49,30.42,77,168.56,5.62,06:13:00,18:13:00
1475143520,9/29/2016 12:00:00 AM,00:05:20,1.22,50,30.42,75,121.92,2.25,06:13:00,18:13:00
